transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
FHKT325Y8L69YI,4.95E+12,online,Wirda Yuliarti,M,1990,5,Matraman Baru - Ancol,1,P00224,Slamet Riyadi,-6.208533,106.85929,13,4/13/2023 16:29,P00154,Pasar Jatinegara,-6.215744,106.86632,15,4/13/2023 18:03,3500
CEIB271Y3N88AH,3.51E+15,dki,Gatra Rahayu,M,1946,6V,Ragunan - Gelora Bung Karno,1,P00133,Masjid Agung,-6.236483,106.79845,2,4/13/2023 17:25,P00259,Tirtayasa,-6.239207,106.80777,4,4/13/2023 18:21,3500
USJQ010A1H15YH,4.20E+18,brizzi,drg. Tantri Situmorang,F,1983,12,Tanjung Priok - Pluit,0,P00170,Penjaringan,-6.126306,106.79203,17,4/13/2023 17:03,P00181,Pluit,-6.115795,106.79037,18,4/13/2023 18:57,3500
EXDH942Q3N60EW,4.97E+15,dki,Gangsar Siregar,M,1996,2A,Pulo Gadung - Rawa Buaya via Balai Kota,0,P00176,Petojo,-6.169984,106.81698,15,4/13/2023 17:13,P00087,Jelambar,-6.166548,106.78651,18,4/13/2023 18:22,3500
KMZW785U8Y24HH,4.12E+12,online,"Cahyono Firmansyah, S.Pd",M,1992,M10,PGC 2 - Tanjung Priok,0,P00168,Penas Kalimalang,-6.23907,106.878,4,4/13/2023 17:55,P00035,Cempaka Mas,-6.165888,106.8792,14,4/13/2023 18:58,3500
AIWV033X4J13BT,4.94E+18,brizzi,Widya Nuraini,F,1994,M3,Kalideres - Bundaran HI via Veteran,0,P00208,RS Sumber Waras,-6.166294,106.79675,5,4/13/2023 16:03,P00087,Jelambar,-6.166548,106.78651,7,4/13/2023 17:38,3500
BEJO465K4S99HI,3.70E+14,emoney,Putu Sihombing,M,1995,8A,Jelambar - Juanda,1,P00209,RS Tarakan,-6.171146,106.81011,3,4/13/2023 17:33,P00087,Jelambar,-6.166548,106.78651,6,4/13/2023 19:17,3500
YJBC394H0H17SX,4.24E+15,dki,"H. Yahya Handayani, S.I.Kom",F,1994,1E,Pondok Labu - Blok M,1,B01001P,Jln. Cilandak V,-6.287313,106.79558,14,4/13/2023 16:06,B02538P,One Belpark 1,-6.304695,106.79445,18,4/13/2023 18:01,3500
EFIU945K7X74VD,3.41E+14,emoney,Elisa Samosir,F,1996,5D,PGC 1 - Ancol,0,P00092,Jembatan Merah,-6.146731,106.83427,17,4/13/2023 17:28,P00076,Gunung Sahari Mangga Dua,-6.136817,106.83237,18,4/13/2023 18:30,3500
RBQG033P4I49GN,2.24E+15,dki,Hafshah Laksmiwati,F,1999,1M,Meruya - Blok M,1,B00856P,Jln. Anggrek Srengseng,-6.19818,106.75616,31,4/13/2023 16:42,B03261P,Ruko Taman Kb. Jeruk,-6.197388,106.74818,37,4/13/2023 18:10,3500
UKKK911E9S02WJ,4.96E+12,online,Cahyono Mustofa,M,1984,11Q,Kampung Melayu - Pulo Gebang via BKT,0,B00198P,Budhaya Santo Agustinus,-6.220866,106.92346,7,4/13/2023 16:24,P00015,Bidara Cina,-6.229724,106.86721,27,4/13/2023 18:05,3500
NJFN810Q1H94NY,2.25E+15,dki,Zelda Kuswoyo,M,2002,9H,Blok M - Universitas Indonesia,0,B02017P,Komplek Al,-6.297741,106.84018,11,4/13/2023 16:16,B02300P,Masjid Guru Amin,-6.258186,106.8434,26,4/13/2023 17:59,3500
UMQZ868S6F05PV,4.71E+15,dki,"dr. Laswi Pranowo, S.Pd",F,2012,5N,Kampung Melayu - Ragunan,0,B00358P,Flyover Kampung Melayu,-6.22506,106.86483,2,4/13/2023 16:42,B03197P,RSIA Kemang,-6.285839,106.8188,36,4/13/2023 18:36,3500
JCVQ819C5Z14BK,2.13E+14,emoney,Viktor Zulkarnain,M,1987,JIS3,Harmoni - Jakarta International Stadium,0,B02734P,Pengadilan Negeri Jakut,-6.126807,106.85654,3,4/13/2023 16:16,B03882P,Sbr. Jembatan Item,-6.130197,106.85511,4,4/13/2023 17:09,3500
AUUO748B1S35NJ,4.33E+18,brizzi,Murti Kurniawan,M,2010,6T,Pasar Minggu - Velbak,1,B06740P,Sbr. Jln. Barito II,-6.248808,106.795903,7,4/13/2023 16:23,B06746P,Sbr. Jln. Pangeran Antasari,-6.275209,106.808665,17,4/13/2023 17:19,3500
TFRE751N1C16QW,3.05E+13,bni,"Gamblang Pradipta, M.Farm",M,2004,5F,Kampung Melayu - Tanah Abang,1,B00115P,UPT. LLHD 2,-6.225501,106.83489,16,4/13/2023 16:17,B03318P,Sawo Kecik Raya,-6.224852,106.85489,21,4/13/2023 17:43,3500
WDZK243X9G37IL,3.02E+13,bni,Daliono Adriansyah,F,2012,12,Tanjung Priok - Pluit,1,P00069,Gedong Panjang,-6.132617,106.80596,3,4/13/2023 17:23,P00171,Permai Koja Arah Utara,-6.11413,106.89309,18,4/13/2023 18:29,3500
LJBB896L2I64XO,3.55E+15,dki,Balangga Permadi,F,2011,3F,Kalideres - Gelora Bung Karno,1,P00282,Grogol 2 Arah Selatan,-6.167435,106.78856,10,4/13/2023 17:40,P00212,S Parman Podomoro City Arah Timur,-6.175799,106.79308,11,4/13/2023 19:36,3500
AZGK202A9T56WZ,5.87E+11,flazz,"KH. Paiman Maheswara, S.I.Kom",M,1969,7D,Pancoran - Kampung Rambutan,1,B01762P,Jembatan Pintu Satu,-6.300382,106.88363,2,4/13/2023 17:24,P00029,Cawang Ciliwung Arah Barat,-6.243292,106.86359,11,4/13/2023 18:52,3500
JHFZ499M3U65JN,4.17E+15,dki,Dr. Juli Megantara,M,1984,2P,Gondangdia - Senen,0,B03201P,RSPAD 3,-6.175462,106.83922,11,4/13/2023 16:27,B05725P,Term. Senen,-6.17356,106.84213,14,4/13/2023 18:17,3500
ZSBG098W4E42LK,6.57E+15,dki,Hasta Anggriawan,F,2000,8K,Batusari - Grogol,0,B02048P,Komplek Kodam Jaya Kb. Jeruk,-6.197819,106.77097,5,4/13/2023 16:53,B05176P,Simpang Tj. Duren Raya,-6.173776,106.78377,18,4/13/2023 18:08,3500
NJUV273T2R88BW,6.52E+15,dki,"Sutan Rosman Laksita, S.I.Kom",F,1994,4,Pulo Gadung 2 - Tosari,1,P00188,Pramuka BPKP,-6.192192,106.87401,8,4/13/2023 17:52,P00014,Bermis,-6.178203,106.89859,12,4/13/2023 19:19,3500
XQTJ807U9H77DG,3.71E+14,emoney,KH. Karma Pudjiastuti,M,1972,1N,Tanah Abang - Blok M,1,B00694P,Grand Sahid,-6.210975,106.82059,9,4/13/2023 17:14,B04728P,Simpang Blok A,-6.187214,106.81611,19,4/13/2023 18:49,3500
NWNO663G1F85TC,2.13E+14,emoney,Tgk. Cagak Zulaika,F,1993,D32,Cinere - Bundaran Senayan,1,B06645P,Kantor Lurah Gandul,-6.34007,106.79381,2,4/13/2023 17:13,B06646P,Jln. Cinere Raya 2,-6.33358,106.78281,3,4/13/2023 18:55,20000
NDHN479I3G19FC,4.16E+18,brizzi,Baktiono Prakasa,F,1981,6U,Blok M - Pasar Minggu,1,B05899P,Wolter Monginsidi,-6.238799,106.81376,23,4/13/2023 17:39,B05744P,Tirtayasa 1,-6.239279,106.80756,26,4/13/2023 19:25,3500
HXFH528C7C51PU,4.31E+12,online,Puspa Sihombing,F,2012,9D,Pasar Minggu - Tanah Abang,0,B05688P,Tegal Parang 2,-6.238571,106.83054,24,4/13/2023 17:20,B05715P,Term. Pasar Minggu,-6.283048,106.84371,48,4/13/2023 18:25,3500
UXHA018Y0R68LT,4.61E+15,dki,Mutia Latupono,M,2002,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0,P00258,Tipar Cakung,-6.183387,106.92463,31,4/13/2023 17:47,P00191,PTC Pulo Gadung,-6.182622,106.91561,32,4/13/2023 18:42,3500
RJVW661Q5R97SJ,3.05E+13,bni,"Gangsa Wijayanti, M.Kom.",M,1990,1E,Pondok Labu - Blok M,1,B00695P,Grand Wijaya Dharmawangsa,-6.254752,106.80034,4,4/13/2023 17:42,B00295P,Dapsus 1,-6.301135,106.79484,17,4/13/2023 19:40,3500
ZFPI660S0U43WP,4.49E+15,dki,Ajeng Pradipta,M,1975,10,Tanjung Priok - PGC 2,0,P00033,Cawang UKI,-6.250309,106.8736,19,4/13/2023 16:38,P00016,BKN,-6.257751,106.87,20,4/13/2023 18:05,3500
SYXI774G5G40MD,3.55E+15,dki,Kajen Andriani,M,1984,M11,Pulo Gebang - Pulo Gadung 2,0,P00174,Perumnas Klender,-6.216689,106.93054,3,4/13/2023 17:00,P00102,Kampung Sumur,-6.214412,106.91189,6,4/13/2023 18:59,3500
HTQJ144C5Q02TD,3.50E+15,dki,drg. Cecep Rahimah,M,1982,1Q,Rempoa - Blok M,0,B03052P,Puskesmas Kel. Gunung,-6.239678,106.79024,19,4/13/2023 17:29,B06578P,Blok M Jalur 3,-6.243426,106.80188,24,4/13/2023 19:23,3500
OBGK092G8G47OU,3.45E+14,emoney,Wahyu Wibisono,F,1985,10K,Tanjung Priok - Senen via Taman BMW,1,B04789P,Simpang Danau Sunter Utara Barat,-6.139853,106.85663,25,4/13/2023 16:23,B04401P,Sbr. Sekolah Yanindo Jakarta,-6.119485,106.86672,34,4/13/2023 17:42,3500
HLMV487X5Y54UE,3.49E+14,emoney,"dr. Restu Fujiati, S.Kom",M,1967,6N,Ragunan - Blok M via Kemang,1,B03197P,RSIA Kemang,-6.285839,106.8188,18,4/13/2023 16:27,B00035P,Ampera 1,-6.292069,106.81774,20,4/13/2023 17:25,3500
PVQA940O5I53QN,4.93E+12,online,Dartono Natsir,M,2006,5C,PGC - Juanda,1,P00118,Kramat Sentiong,-6.18798,106.84595,3,4/13/2023 17:44,P00070,Gelanggang Remaja,-6.235445,106.86795,13,4/13/2023 19:40,3500
QJRM552F1X05DQ,3.42E+14,emoney,"Kartika Habibi, S.Psi",M,1975,6D,Stasiun Tebet - Karet via Underpass,1,B02554P,Pal Batu 2,-6.224559,106.8446,3,4/13/2023 17:09,B02396P,Mega Kuningan,-6.224556,106.82677,9,4/13/2023 19:03,3500
YIIQ666K8Y33WS,3.56E+15,dki,Cawisono Permadi,F,1987,6A,Ragunan - MH Thamrin via Kuningan,1,P00048,Departemen Pertanian,-6.294641,106.82213,17,4/13/2023 16:32,P00199,Ragunan,-6.305769,106.81949,18,4/13/2023 17:23,3500
FESR900C4U36YU,3.01E+13,bni,Ian Prasasta,F,1990,4F,Pinang Ranti - Pulo Gadung,1,B03681P,Sbr. Jln. Damai,-6.242744,106.90195,23,4/13/2023 17:56,B01372P,Jln. Masjid Al Wustho,-6.245281,106.90494,24,4/13/2023 18:50,3500
JKIG275L6Y54JO,3.53E+15,dki,Tgk. Gawati Hardiansyah,M,1976,1P,Senen - Blok M,0,B04647P,Sekolah Penabur Gunung Sahari,-6.170053,106.84024,4,4/13/2023 17:21,B00360P,Flyover Karet 2,-6.214808,106.81847,25,4/13/2023 18:40,3500
LGJY313J7P78KY,4.12E+15,dki,"Prima Simanjuntak, S.I.Kom",M,1987,B21,Bekasi Timur - Cawang,1,B05622P,Taman Margahayu 2,-6.24846,107.02153,10,4/13/2023 16:27,B00715P,Groserindo,-6.249011,107.01686,11,4/13/2023 18:23,3500
XMTJ509Q9E93UA,4.02E+18,brizzi,Karimah Salahudin,F,1992,13,Ciledug - Tendean,0,P00197,Puri Beta 1,-6.230596,106.72602,1,4/13/2023 17:52,P00106,Kebayoran Lama,-6.23834,106.77752,7,4/13/2023 19:01,3500
VUTJ527U4L65WY,1.80E+14,emoney,"R.A. Farhunnisa Firmansyah, M.Pd",F,1996,6B,Ragunan - MH Thamrin via Semanggi,0,P00261,Tosari,-6.196892,106.82309,14,4/13/2023 16:26,P00025,Bundaran HI,-6.193021,106.823,15,4/13/2023 17:49,3500
ICMX877U9I58XJ,4.80E+18,brizzi,Warsa Gunawan,F,1986,5B,Stasiun Tebet - BNN,1,P00297,BNN LRT,-6.245863,106.871143,1,4/13/2023 16:38,B05510P,St. Tebet 1,-6.225576,106.85862,7,4/13/2023 18:11,3500
JLMT061U7R51NH,6.58E+15,dki,Sadina Lailasari,F,1987,3,Kalideres - Bundaran HI via Veteran,1,P00050,Dispenda Samsat Barat,-6.154634,106.7381,9,4/13/2023 16:11,P00175,Pesakih,-6.154803,106.71527,13,4/13/2023 17:36,3500
KGCI261N2S15MI,4.28E+12,online,Zelda Wibowo,M,1989,11D,Pulo Gebang - Pulo Gadung 2 via PIK,1,B03101P,Romantis PIK Penggilingan,-6.205114,106.92803,21,4/13/2023 17:00,P00270,Walikota Jakarta Timur,-6.21254,106.94537,30,4/13/2023 18:49,3500
QURO270A1G32AT,3.54E+15,dki,Unjani Mulyani,F,1987,M6,Ragunan - MH Thamrin,0,P00121,Kuningan Timur,-6.234731,106.82902,10,4/13/2023 17:32,P00199,Ragunan,-6.305769,106.81949,20,4/13/2023 18:49,3500
QHDX039L7F57KS,6.30E+11,flazz,Winda Puspita,M,1959,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,1,B03014P,Puri Imperium,-6.210463,106.83229,10,4/13/2023 17:24,B04907P,Simpang Kawi Raya,-6.209476,106.83322,11,4/13/2023 18:23,3500
WTSH990X4B41XL,4.54E+15,dki,Nova Puspasari,F,1965,12A,Pelabuhan Kaliadem - Kota,1,P00098,Kali Besar Barat,-6.135355,106.81143,1,4/13/2023 16:42,B02492P,Muara Karang Raya,-6.116812,106.78016,13,4/13/2023 17:46,3500
WLTL447Q0F52MR,6.59E+15,dki,"H. Rangga Santoso, S.Farm",M,1973,9A,PGC 2 - Grogol 2,0,P00143,Pancoran Barat Arah Barat,-6.241672,106.8372,9,4/13/2023 17:02,P00227,Slipi Petamburan Arah Utara,-6.20203,106.79989,15,4/13/2023 17:55,3500
ABFG546B7B25RT,4.50E+15,dki,"Zizi Santoso, M.Kom.",M,1970,M3,Kalideres - Bundaran HI via Veteran,1,P00137,Monas,-6.176248,106.82286,13,4/13/2023 16:10,P00256,MH Thamrin,-6.188149,106.82299,15,4/13/2023 17:42,3500
WGCL618S4Q69VM,1.80E+14,emoney,"Kamaria Megantara, S.IP",M,1997,9H,Blok M - Universitas Indonesia,0,B02678P,Ps. Santa,-6.238971,106.8126,38,4/13/2023 17:03,B05744P,Tirtayasa 1,-6.239279,106.80756,40,4/13/2023 18:14,3500
RCGT568H0V91TC,3.50E+15,dki,Kamila Puspita,F,2003,6V,Ragunan - Gelora Bung Karno,0,P00053,Duren Tiga,-6.252377,106.82697,8,4/13/2023 16:57,P00254,Tendean,-6.240213,106.83102,10,4/13/2023 18:54,3500
KIES306Y8I29SM,4.45E+12,online,R.M. Langgeng Nashiruddin,F,2008,M4,Pulo Gadung 2 - Dukuh Atas 2,1,P00269,Velodrome,-6.193468,106.8883,10,4/13/2023 16:07,P00193,Pulo Gadung 2,-6.183098,106.90872,15,4/13/2023 17:21,3500
LVZT580D9T43PY,4.39E+15,dki,Titi Prasetya,F,2002,1P,Senen - Blok M,1,B00222P,Bundaran Senayan 2,-6.227877,106.80068,3,4/13/2023 17:55,B00694P,Grand Sahid,-6.210975,106.82059,10,4/13/2023 19:08,3500
GMQT283N4I33VY,4.23E+12,online,Dalima Winarsih,F,2008,5F,Kampung Melayu - Tanah Abang,0,B05925P,Yayasan Muhammadiyah 2,-6.196871,106.81431,23,4/13/2023 17:45,B03297P,Rusun Tanah Abang 2,-6.192171,106.81474,25,4/13/2023 19:17,3500
WTPL715M9S64NK,3.75E+14,emoney,Luhung Permadi,F,2005,6D,Stasiun Tebet - Karet via Underpass,0,B03305P,Sahid Sudirman Center,-6.211191,106.81794,12,4/13/2023 17:50,B01834P,Karet Pedurenan 2,-6.221462,106.82109,14,4/13/2023 18:40,3500
BDXQ781J4P06AO,1.80E+14,emoney,R.A. Puti Permadi,M,1987,9D,Pasar Minggu - Tanah Abang,1,B03183P,RS Tria Dipa,-6.250297,106.84261,13,4/13/2023 17:33,B02972P,Pospol Jati Bunder,-6.189707,106.81317,46,4/13/2023 19:04,3500
NWUX472X6O38HT,4.68E+15,dki,Paramita Budiyanto,F,1997,8C,Kebayoran Lama - Tanah Abang,0,B01974P,Kesatrian Kowal Cut Nyak Dhien,-6.194307,106.81436,22,4/13/2023 17:20,B02972P,Pospol Jati Bunder,-6.189707,106.81317,27,4/13/2023 19:18,3500
HQKG550N1W21XU,1.80E+14,emoney,Bajragin Usada,M,2008,5,Matraman Baru - Ancol,1,P00142,Pal Putih,-6.184631,106.84402,7,4/14/2023 5:12,P00253,Tegalan,-6.203101,106.85715,12,4/14/2023 5:39,3500
ZBNS225I9U08GR,4.89E+15,dki,Gandi Widodo,F,1997,6C,Stasiun Tebet - Karet via Patra Kuningan,0,B01963P,Kemenkes 2,-6.2287,106.83302,13,4/14/2023 5:20,B03307P,Sampoerna Strategic,-6.217152,106.81892,21,4/14/2023 5:56,3500
BGJB393Y1T20JM,5.00E+15,dki,Emong Wastuti,F,1992,R1A,Pantai Maju - Kota,0,B00499P,Gg. Kunir II,-6.133132,106.81435,38,4/14/2023 6:02,B04962P,Simpang Kunir Kemukus,-6.133731,106.81475,39,4/14/2023 6:59,3500
LYHJ995Z6B90HN,6.39E+11,flazz,Surya Wacana,F,1978,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0,B05587P,Taman Elok 1,-6.195743,106.93526,23,4/14/2023 5:10,B03090P,Raya Penggilingan,-6.183068,106.93194,29,4/14/2023 6:08,3500
RLOT510V5M09NS,5.71E+11,flazz,Embuh Mardhiyah,M,1982,12,Tanjung Priok - Pluit,0,P00239,Sunter Boulevard Barat,-6.14965,106.889,5,4/14/2023 6:30,P00098,Kali Besar Barat,-6.135355,106.81143,15,4/14/2023 6:53,3500
PXOR681T1K49BZ,2.25E+15,dki,Tirta Siregar,F,1993,1T,Cibubur - Balai Kota,0,B00127P,Benhil 3,-6.21601,106.81632,3,4/14/2023 6:19,B00694P,Grand Sahid,-6.210975,106.82059,6,4/14/2023 6:50,20000
LCHI056C5G63AC,6.51E+15,dki,"Cagak Maheswara, S.Sos",F,1992,B14,Bekasi Barat - Kuningan,1,B00795P,Imperium,-6.210363,106.83059,1,4/14/2023 5:47,B01853P,Kayuringin 2,-6.245948,106.99247,16,4/14/2023 6:17,20000
KOKF417L4Q88JJ,3.58E+15,dki,"T. Dadap Pradana, M.Ak",M,2004,1Q,Rempoa - Blok M,0,B05781P,TPU Bungur,-6.247208,106.77889,15,4/14/2023 6:39,B06578P,Blok M Jalur 3,-6.243426,106.80188,24,4/14/2023 7:10,3500
OVXE487Y9N41PG,5.54E+15,dki,"Oskar Widiastuti, S.Farm",F,1997,5M,Kampung Melayu - Tanah Abang via Cikini,1,B05433P,Pegangsaan Timur,-6.199263,106.84205,17,4/14/2023 5:51,B02387P,Matraman 4,-6.199782,106.8545,23,4/14/2023 6:45,3500
RLQP984W1E26GT,3.54E+15,dki,Shakila Maryadi,F,1988,9A,PGC 2 - Grogol 2,1,P00281,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,4/14/2023 6:21,P00216,Semanggi,-6.22111,106.81354,6,4/14/2023 7:06,3500
FZWO318M9N22VX,6.58E+15,dki,Danuja Usada,F,2002,4,Pulo Gadung 2 - Tosari,1,P00159,Pasar Rumput,-6.207125,106.84112,2,4/14/2023 5:19,P00135,Matraman 2,-6.19891,106.8545,4,4/14/2023 5:41,3500
EGDN967U8G17WG,4.53E+15,dki,H. Lutfan Nurdiyanti,M,2011,S22,Ciputat - Kampung Rambutan,0,B05291P,SMK Darussalam,-6.319946,106.74598,1,4/14/2023 6:31,B03032P,Pusdiklat Kemenag 1,-6.312075,106.75228,3,4/14/2023 6:53,3500
ZWTO158L2H54GD,4.56E+18,brizzi,Sari Nababan,F,2004,13,Ciledug - Tendean,1,P00096,JORR,-6.236104,106.75488,10,4/14/2023 5:34,P00001,Adam Malik,-6.236466,106.74786,11,4/14/2023 5:55,3500
WKDD854B5G06HC,4.97E+12,online,"Hj. Ophelia Haryanti, S.Sos",M,2002,9E,Kebayoran Lama - Jelambar,1,B00058P,Apartemen Simprug Teras,-6.232197,106.78874,19,4/14/2023 6:41,P00155,Pasar Kebayoran Lama,-6.238413,106.78323,20,4/14/2023 7:15,3500
OHQX241I2I42XT,5.02E+11,flazz,"Adikara Kurniawan, S.Sos",M,2003,M9,Pinang Ranti - Pluit,1,P00093,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,4/14/2023 6:07,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,16,4/14/2023 6:27,3500
IOFF628W7E15DZ,3.79E+14,emoney,Aslijan Irawan,F,2009,T11,Poris Plawad - Bundaran Senayan,1,P00206,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,4/14/2023 6:05,B05720P,Term. Poris Plawad,-6.172859,106.66501,24,4/14/2023 6:44,3500
XSKT284Q3X53XZ,6.76E+11,flazz,Fathonah Saefullah,M,1983,6V,Ragunan - Gelora Bung Karno,0,P00259,Tirtayasa,-6.239207,106.80777,12,4/14/2023 5:18,P00133,Masjid Agung,-6.236483,106.79845,13,4/14/2023 5:42,3500
ZIMM874H9Z30GW,4.97E+15,dki,Martana Suartini,F,2007,11,Pulo Gebang - Matraman,0,P00233,St. Jatinegara 2,-6.215601,106.86805,13,4/14/2023 5:30,P00086,Jatinegara RS Premier,-6.221412,106.86807,14,4/14/2023 6:28,3500
FAAD006K0U00LD,6.76E+11,flazz,Eluh Nugroho,F,2011,1C,Pesanggrahan - Blok M,0,B05833P,Univ. Moestopo Bintaro,-6.258469,106.76529,1,4/14/2023 6:11,B00147P,Bintaro Park VIew,-6.257977,106.75969,5,4/14/2023 6:32,3500
LRUR985I8H45EB,4.68E+12,online,"Drs. Nadia Ramadan, S.Sos",M,1960,M1,Blok M - Kota,0,P00183,Polda Metro Jaya,-6.221094,106.81028,5,4/14/2023 6:43,P00104,Karet Sudirman,-6.212457,106.82003,7,4/14/2023 7:18,3500
GHMD167Z2H78TJ,4.39E+15,dki,"Ibrahim Prayoga, S.H.",F,2001,7E,Kampung Rambutan - Ragunan,0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,4/14/2023 5:14,B02868P,Plaza Oleos,-6.29771,106.82965,17,4/14/2023 5:40,3500
METB504J4V91ZO,3.79E+14,emoney,Salman Ramadan,M,1968,7D,Pancoran - Kampung Rambutan,0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,4/14/2023 6:38,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13,4/14/2023 7:38,3500
UBQA793U6B99TJ,6.39E+11,flazz,"Galang Megantara, S.Ked",M,1989,JIS3,Harmoni - Jakarta International Stadium,0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,4/14/2023 6:42,P00161,Pecenongan,-6.16771,106.82819,12,4/14/2023 7:10,3500
GXUQ981B0I33JD,4.95E+15,dki,Rahayu Rahayu,F,2006,5M,Kampung Melayu - Tanah Abang via Cikini,1,B02994P,PTUN Jakarta,-6.196388,106.84025,16,4/14/2023 6:54,B05707P,Term. Kampung Melayu 2,-6.224516,106.86685,30,4/14/2023 7:53,3500
BPYR907J9Y27VX,3.54E+15,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,Pulo Gadung - Monas,0,P00202,Rawa Selatan,-6.173925,106.85809,9,4/14/2023 5:05,P00137,Monas,-6.176248,106.82286,19,4/14/2023 6:01,3500
FJVK167R9K59FS,3.44E+14,emoney,"R. Mila Wahyuni, S.Sos",F,2006,R1A,Pantai Maju - Kota,1,B00917P,Jln. BB Utara,-6.120279,106.79409,12,4/14/2023 6:22,B00242P,Centro Metro Broadway,-6.116362,106.76143,29,4/14/2023 7:04,3500
JTXP935J3A35EV,4.02E+15,dki,Aurora Hasanah,F,1990,M11,Pulo Gebang - Pulo Gadung 2,0,P00102,Kampung Sumur,-6.214412,106.91189,6,4/14/2023 5:10,P00058,Flyover Klender,-6.213596,106.90306,7,4/14/2023 5:35,3500
TRKW459T2L82LD,3.47E+14,emoney,Darmaji Wahyuni,F,2003,9N,Pinang Ranti - Pramuka,0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,4/14/2023 5:03,P00016,BKN,-6.257751,106.87,2,4/14/2023 5:57,3500
DGYJ602X0E43TS,3.43E+14,emoney,Zulaikha Yulianti,F,1991,13,Ciledug - Tendean,1,P00044,CSW 1,-6.23994,106.79843,3,4/14/2023 5:59,P00268,Velbak,-6.239433,106.78552,5,4/14/2023 6:38,3500
QZKY827X8C48KC,3.50E+14,emoney,Oliva Sirait,M,1983,7P,Pondok Kelapa - BKN,1,B02032P,Komplek Dolog Jaya,-6.24794,106.91572,15,4/14/2023 6:16,B01624P,Jln. Swakarsa III Pondok Kelapa,-6.244759,106.94249,30,4/14/2023 6:47,3500
LORY287B3L37SZ,5.66E+11,flazz,Laila Simanjuntak,F,1992,11,Pulo Gebang - Matraman,1,P00151,Pasar Enjo,-6.214881,106.87819,3,4/14/2023 6:33,P00080,Imigrasi Jakarta Timur,-6.214632,106.88227,4,4/14/2023 7:25,3500
MUYL767G0X64CK,3.53E+15,dki,Puti Paris Marpaung,M,2003,13B,Puri Beta - Pancoran Barat,1,P00106,Kebayoran Lama,-6.23834,106.77752,8,4/14/2023 5:46,P00096,JORR,-6.236104,106.75488,12,4/14/2023 6:18,3500
UQQL406B7N97LO,5.54E+15,dki,Sutan Narji Nasyidah,M,2001,1Q,Rempoa - Blok M,1,B02540P,One Park Residences,-6.245436,106.78844,9,4/14/2023 5:09,B00959P,Jln. Bungur,-6.247708,106.7814,11,4/14/2023 6:04,3500
AGQP064C2P60GD,2.13E+14,emoney,Restu Waluyo,F,1984,12A,Pelabuhan Kaliadem - Kota,0,B05324P,SMKN 56,-6.119094,106.79423,9,4/14/2023 6:56,P00138,Museum Fatahillah,-6.13393,106.81209,18,4/14/2023 7:42,3500
IXRE162L9N60OD,4.29E+15,dki,Gara Sitompul,F,1999,9D,Pasar Minggu - Tanah Abang,0,B00693P,Grand Pasar Minggu,-6.290648,106.84236,45,4/14/2023 5:07,B02647P,Pasar Minggu,-6.284413,106.84414,47,4/14/2023 5:43,3500
XFEO134X2P19GJ,1.80E+14,emoney,Daryani Prabowo,M,1989,1,Blok M - Kota,1,P00104,Karet Sudirman,-6.212457,106.82003,14,4/14/2023 6:10,P00133,Masjid Agung,-6.236483,106.79845,19,4/14/2023 7:07,3500
WSDQ611J9U04NJ,1.80E+14,emoney,"Zalindra Irawan, M.TI.",M,1992,M8,Lebak Bulus - Pasar Baru,0,P00245,Tanah Kusir Kodim,-6.256997,106.78168,20,4/14/2023 5:19,P00184,Pondok Indah 1,-6.286761,106.77999,22,4/14/2023 6:01,3500
SPLT345B5E01OZ,3.74E+14,emoney,"Jamal Pudjiastuti, S.I.Kom",F,1981,B21,Bekasi Timur - Cawang,1,B02263P,Masjid Amar Maruf 2,-6.255062,107.02206,7,4/14/2023 6:39,B05622P,Taman Margahayu 2,-6.24846,107.02153,10,4/14/2023 7:39,3500
OLPS640K9J23RH,5.13E+15,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,4/14/2023 5:17,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18,4/14/2023 5:51,3500
WOHP975G0W21FR,3.55E+15,dki,"Mustofa Wijayanti, M.Farm",M,1981,1T,Cibubur - Balai Kota,0,B02408P,Menara Astra,-6.207361,106.8219,7,4/14/2023 6:03,B02420P,Menara Thamrin,-6.185275,106.82291,13,4/14/2023 6:40,20000
